problem_id,best_direct,original,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,top8,rank_order
atcoder_abc391g_many-lcs,854.7946760000001,783.8592600000002,853.1487700000001,790.379438,,,871.3275950000002,918.2927389999998,886.548624,,790.379438,"['rank_2', 'rank_1', 'rank_5', 'rank_7', 'rank_6']"
atcoder_abc392a_shuffled-equation,303.962647,315.374531,,,335.06859599999996,,327.219858,289.792484,,,289.792484,"['rank_6', 'rank_5', 'rank_3']"
atcoder_abc392b_who-is-missing?,300.187457,279.206676,269.879072,400.3261049999999,,294.33371700000004,404.468008,,318.192696,406.695969,269.879072,"['rank_1', 'rank_4', 'rank_7', 'rank_2', 'rank_5', 'rank_8']"
atcoder_abc392c_bib,320.526327,293.351428,295.224241,,262.251325,,,,323.79016,,262.251325,"['rank_3', 'rank_1', 'rank_7']"
atcoder_abc392e_cables-and-servers,5367.874128,1310.6308040000001,,18347.549432000003,,,,,,,18347.549432000003,['rank_2']
atcoder_abc392f_insert,,21667.466317999995,,,21362.110037,,21575.741724,,,21423.039704,21362.110037,"['rank_3', 'rank_8', 'rank_5']"
atcoder_abc393a_poisonous-oyster,259.11422699999997,271.866808,364.855445,257.422915,,325.76741300000003,,273.902063,363.647112,299.140675,257.422915,"['rank_2', 'rank_6', 'rank_8', 'rank_4', 'rank_7', 'rank_1']"
atcoder_abc393c_make-it-simple,5763.632353999999,7125.555214,6630.748299000001,9144.552858,7643.558012000002,6719.433792,6703.1679300000005,,9867.209848999999,7530.717717999998,6630.748299000001,"['rank_1', 'rank_5', 'rank_4', 'rank_8', 'rank_3', 'rank_2', 'rank_7']"
atcoder_abc393e_gcd-of-subset,304.102718,394.90431800000005,295.956655,275.19978599999996,369.0366369999999,402.206325,386.90815299999997,361.867983,388.974153,,275.19978599999996,"['rank_2', 'rank_1', 'rank_6', 'rank_3', 'rank_5', 'rank_7', 'rank_4']"
atcoder_abc393f_prefix-lis-query,629.373327,672.6472169999998,543.97313,629.3743999999999,3825.6904519999994,1000.3107900000001,720.308492,,,,543.97313,"['rank_1', 'rank_2', 'rank_5', 'rank_4', 'rank_3']"
atcoder_abc394a_22222,273.268803,287.68612899999994,302.136759,389.83711300000004,297.314545,319.41245399999997,276.49254700000006,309.194011,284.7428959999999,257.586901,257.586901,"['rank_8', 'rank_5', 'rank_7', 'rank_3', 'rank_1', 'rank_6', 'rank_4', 'rank_2']"
atcoder_abc394b_cat,346.54306500000007,304.95517500000005,329.40131699999995,320.040528,233.45934199999996,287.67438899999996,281.343896,287.403695,288.115569,328.8030499999999,233.45934199999996,"['rank_3', 'rank_5', 'rank_6', 'rank_4', 'rank_7', 'rank_2', 'rank_8', 'rank_1']"
atcoder_abc394c_debug,,359.021225,,423.42406200000005,,,,463.731052,,,423.42406200000005,"['rank_2', 'rank_6']"
atcoder_abc394g_dense-buildings,,,,,,,,,,,,[]
atcoder_abc395a_strictly-increasing?,369.688885,289.39909800000004,323.309069,,299.08709899999997,315.91841900000003,306.422037,349.8013649999999,242.54996699999995,284.5231130000001,242.54996699999995,"['rank_7', 'rank_8', 'rank_3', 'rank_5', 'rank_4', 'rank_1', 'rank_6']"
